fea_name,fea_group,fea_category,source_table,table_create_time,table_last_update_time,fillna_method,scale_required,fea_status,fea_index
hardwareid,id,id,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,0,1,1
vin,id,id,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,0,1,2
make,car_make,categorical,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,0,1,3
model,car_make,categorical,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,0,1,4
year,car_make,numerical,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,1,0,5
year_imp,car_make,numerical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",na,1,1,6
vehicletype,car_make,categorical,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,0,1,7
weightclass,car_make,categorical,geotab-bi.Safety.Hardwareid_Vin_Decode,"Apr 27, 2020, 11:49:43 AM","Apr 27, 2020, 11:50:08 AM",na,0,0,8
weightclass_imp,car_make,categorical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",na,0,1,9
hoursinterval,trip,numerical,geotab-bi.Safety.DrivingHours_Distance_Interval,"May 13, 2020, 1:26:44 PM","May 14, 2020, 1:56:23 PM",na,1,0,10
drivinghours,trip,numerical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",na,1,1,11
distanceinterval,trip,numerical,geotab-bi.Safety.DrivingHours_Distance_Interval,"May 13, 2020, 1:26:44 PM","May 14, 2020, 1:56:23 PM",na,1,0,12
drivingdistance,trip,numerical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",na,1,1,13
vocationid,trip,categorical,geotab-bi.Safety.Hardwareid_Vocation,"Apr 27, 2020, 5:00:22 PM","May 14, 2020, 9:39:39 AM",na,0,1,14
horsepowerinterval,car_make,numerical,geotab-bi.Safety.EngineDetails_Interval,"May 13, 2020, 2:08:23 PM","May 14, 2020, 2:00:36 PM",na,1,0,15
horsepower_imp,car_make,numerical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",na,1,1,16
displacementinterval,car_make,numerical,geotab-bi.Safety.EngineDetails_Interval,"May 13, 2020, 2:08:23 PM","May 14, 2020, 2:00:36 PM",na,1,0,17
displacement_imp,car_make,numerical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",na,1,1,18
speed_0,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,19
speed_10,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,20
speed_20,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,21
speed_30,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,22
speed_40,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,23
speed_50,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,24
speed_60,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,25
speed_70,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,26
speed_80,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,27
speed_90,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,28
speed_100,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,29
speed_110,drive,numerical,geotab-bi.Safety.SpeedDistByVehicle,"Apr 27, 2020, 4:57:01 PM","May 14, 2020, 1:41:58 PM",0,0,1,30
temperature_minus40,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,31
temperature_minus30,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,32
temperature_minus20,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,33
temperature_minus10,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,34
temperature_0,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,35
temperature_10,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,36
temperature_20,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,37
temperature_30,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,38
temperature_40,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,39
temperature_50,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,40
temperature_above50,environment,numerical,geotab-bi.Safety.TemperatureDistribution,"Apr 30, 2020, 1:33:39 PM","May 14, 2020, 1:46:16 PM",0,0,1,41
precipitation_below50,environment,numerical,geotab-bi.Safety.PrecipitationDistribution,"May 1, 2020, 1:34:32 PM","May 14, 2020, 1:25:35 PM",0,0,1,42
precipitation_above50,environment,numerical,geotab-bi.Safety.PrecipitationDistribution,"May 1, 2020, 1:34:32 PM","May 14, 2020, 1:25:35 PM",0,0,1,43
snow_below50,environment,numerical,geotab-bi.Safety.SnowDistribution,"May 1, 2020, 3:41:12 PM","May 14, 2020, 1:29:25 PM",0,0,1,44
snow_above50,environment,numerical,geotab-bi.Safety.SnowDistribution,"May 1, 2020, 3:41:12 PM","May 14, 2020, 1:29:25 PM",0,0,1,45
pressure_85000,environment,numerical,geotab-bi.Safety.PressureDistribution,"May 1, 2020, 10:35:13 PM","May 14, 2020, 1:27:48 PM",0,0,1,46
pressure_98000,environment,numerical,geotab-bi.Safety.PressureDistribution,"May 1, 2020, 10:35:13 PM","May 14, 2020, 1:27:48 PM",0,0,1,47
pressure_99000,environment,numerical,geotab-bi.Safety.PressureDistribution,"May 1, 2020, 10:35:13 PM","May 14, 2020, 1:27:48 PM",0,0,1,48
pressure_100000,environment,numerical,geotab-bi.Safety.PressureDistribution,"May 1, 2020, 10:35:13 PM","May 14, 2020, 1:27:48 PM",0,0,1,49
pressure_110000,environment,numerical,geotab-bi.Safety.PressureDistribution,"May 1, 2020, 10:35:13 PM","May 14, 2020, 1:27:48 PM",0,0,1,50
pressure_above110000,environment,numerical,geotab-bi.Safety.PressureDistribution,"May 1, 2020, 10:35:13 PM","May 14, 2020, 1:27:48 PM",0,0,1,51
geo3,trip,categorical,geotab-bi.Safety.Geo2_Geo3,"May 7, 2020, 4:58:02 PM","May 7, 2020, 4:59:39 PM",na,0,1,52
geo2,trip,categorical,geotab-bi.Safety.Geo2_Geo3,"May 7, 2020, 4:58:02 PM","May 7, 2020, 4:59:39 PM",na,0,1,53
battery_0,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,54
battery_10,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,55
battery_20,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,56
battery_30,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,57
battery_40,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,58
battery_50,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,59
battery_60,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,60
battery_70,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,61
battery_80,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,62
battery_90,car_condition,numerical,geotab-bi.Safety.BatteryDistribution,"May 5, 2020, 3:34:42 PM","May 14, 2020, 1:22:15 PM",0,0,1,63
oilchangeinvertal,car_condition,numerical,geotab-bi.Safety.EngineOilChange_Count_Interval,"May 13, 2020, 2:25:24 PM","May 13, 2020, 2:25:55 PM",0,1,0,64
oilchangeinterval,car_condition,numerical,geotab-bi.SafetyPrototype.Step_14_AllFeatures_Imputation,"Jan 26, 2021, 11:12:02 AM","Mar 15, 2021, 3:59:30 PM",0,1,1,65